acX,acY,acZ,gyX,gyY,gyZ,Akselerasi,time
3.01,3.99,3.79,495.87,0.47,1.29,6.2725034874442285,11:06:05
3.01,3.94,3.75,9.58,13.92,2.81,6.216606791490033,11:06:06
3.04,0.02,3.67,52.15,5.36,8.78,4.765595450728062,11:06:06
3.02,3.92,3.72,15.02,494.8,1.35,6.190735012904365,11:06:07
3.02,3.9,3.77,479.99,492.51,498.22,6.208325055922893,11:06:07
3.01,3.93,3.82,479.88,495.29,0.99,6.252791376657308,11:06:08
3.03,3.93,3.79,472.86,10.11,499.2,6.244189298860181,11:06:08
2.96,0.0,3.7,473.0,0.13,494.22,4.738311935700308,11:06:09
3.02,3.9,3.77,477.02,491.76,495.29,6.208325055922893,11:06:09
3.01,3.97,3.79,483.84,497.63,497.51,6.259800316304027,11:06:10
3.01,3.97,3.82,494.87,-1.6,500.9,6.278009238604224,11:06:10
3.01,3.96,3.83,494.41,2.02,500.55,6.277786234015937,11:06:11
3.01,3.96,3.8,498.76,0.96,1.26,6.259528736254831,11:06:11
3.01,3.96,3.8,498.41,0.37,0.9,6.259528736254831,11:06:12
3.01,3.97,3.8,497.26,0.96,0.99,6.265859877143758,11:06:12
3.01,3.97,3.79,497.54,0.48,501.02,6.259800316304027,11:06:13
3.01,3.98,3.8,498.62,0.0,1.0,6.27220057077259,11:06:13
3.01,3.97,3.81,498.02,0.25,500.68,6.27192952766531,11:06:14
3.01,3.97,3.81,498.41,-0.05,501.01,6.27192952766531,11:06:14
3.01,3.97,3.81,497.68,0.54,1.0,6.27192952766531,11:06:15
3.01,3.97,3.81,498.29,0.1,500.98,6.27192952766531,11:06:15
3.01,3.97,3.81,498.58,0.34,0.83,6.27192952766531,11:06:16
3.01,3.99,3.79,490.7,0.47,1.29,6.2725034874442285,11:06:16
3.01,3.94,3.75,497.53,13.92,2.81,6.216606791490033,11:06:17
3.04,0.02,3.67,497.37,5.36,8.78,4.765595450728062,11:06:17
3.02,3.92,3.72,497.28,494.8,1.35,6.190735012904365,11:06:18
3.02,3.9,3.77,498.51,492.51,498.22,6.208325055922893,11:06:18
3.01,3.93,3.82,498.64,495.29,0.99,6.252791376657308,11:06:19
3.03,3.93,3.79,500.65,10.11,499.2,6.244189298860181,11:06:19
2.96,0.0,3.7,496.26,0.13,494.22,4.738311935700308,11:06:20
3.02,3.9,3.77,497.61,491.76,495.29,6.208325055922893,11:06:20
3.01,3.97,3.79,500.79,497.63,497.51,6.259800316304027,11:06:21
3.01,3.97,3.82,498.2,-1.6,500.9,6.278009238604224,11:06:21
3.01,3.96,3.83,500.36,2.02,500.55,6.277786234015937,11:06:22
3.01,3.96,3.8,499.87,0.96,1.26,6.259528736254831,11:06:22
3.01,3.96,3.8,496.96,0.37,0.9,6.259528736254831,11:06:23
3.01,3.97,3.8,496.43,0.96,0.99,6.265859877143758,11:06:23
3.01,3.97,3.79,496.38,0.48,501.02,6.259800316304027,11:06:24
3.01,3.98,3.8,499.27,0.0,1.0,6.27220057077259,11:06:24
3.01,3.97,3.81,496.89,0.25,500.68,6.27192952766531,11:06:25
3.01,3.97,3.81,498.74,-0.05,501.01,6.27192952766531,11:06:25
3.01,3.97,3.81,496.94,0.54,1.0,6.27192952766531,11:06:26
3.01,3.97,3.81,496.05,0.1,500.98,6.27192952766531,11:06:26
3.01,3.97,3.81,496.91,0.34,0.83,6.27192952766531,11:06:27
