acX,acY,acZ,gyX,gyY,gyZ,Akselerasi,time
0.91,3.9,0.37,497.42,0.63,501.01,4.021815510438041,10:38:09
0.91,3.89,0.39,497.97,0.94,500.64,4.01401295463779,10:38:10
0.91,3.9,0.38,498.5,-0.2,500.72,4.022747817102136,10:38:11
0.91,3.9,0.38,498.85,0.09,1.35,4.022747817102136,10:38:11
0.91,3.9,0.37,498.22,0.86,1.23,4.021815510438041,10:38:12
0.91,3.9,0.38,497.11,-0.32,500.97,4.022747817102136,10:38:12
0.9,3.9,0.39,498.39,0.65,500.97,4.021454960583296,10:38:13
0.9,3.9,0.38,498.55,1.04,500.83,4.020497481655721,10:38:13
0.91,3.9,0.38,498.63,0.09,500.81,4.022747817102136,10:38:14
0.91,3.9,0.38,498.05,0.15,0.86,4.022747817102136,10:38:14
0.92,3.91,0.38,498.59,-0.61,501.0,4.034711885624549,10:38:15
0.91,3.9,0.37,498.93,1.15,0.82,4.021815510438041,10:38:15
0.91,3.91,0.38,498.7,0.89,500.97,4.032443427997472,10:38:16
0.91,3.9,0.38,498.17,1.35,500.78,4.022747817102136,10:38:16
0.91,3.91,0.38,497.8,-0.27,500.97,4.032443427997472,10:38:17
0.91,3.9,0.39,497.84,-0.61,0.8,4.023704760540962,10:38:17
0.91,3.9,0.38,497.45,0.52,501.04,4.022747817102136,10:38:18
0.9,3.91,0.38,498.49,0.63,500.35,4.030198506277328,10:38:18
0.91,3.9,0.38,498.5,0.05,500.99,4.022747817102136,10:38:27
0.92,3.91,0.38,498.57,0.27,1.22,4.034711885624549,10:38:27
0.91,3.91,0.39,497.13,0.67,501.0,4.033398071105802,10:38:28
0.91,3.9,0.38,497.09,-0.82,500.96,4.022747817102136,10:38:28
0.91,3.9,0.36,498.74,0.87,500.44,4.020907857685874,10:38:29
0.91,3.9,0.38,498.51,0.65,501.06,4.022747817102136,10:38:29
0.91,3.92,0.38,499.06,0.56,500.68,4.042140522050167,10:38:30
0.91,3.91,0.39,497.7,1.06,1.08,4.033398071105802,10:38:30
0.91,3.91,0.39,498.09,0.03,500.91,4.033398071105802,10:38:31
0.91,3.91,0.38,497.65,-0.51,500.83,4.032443427997472,10:38:31
0.91,3.91,0.39,498.52,0.94,501.04,4.033398071105802,10:38:32
0.91,3.9,0.37,498.63,0.43,500.71,4.021815510438041,10:38:32
0.91,3.91,0.37,498.02,-0.11,500.77,4.031513363490192,10:38:33
0.91,3.91,0.38,498.61,0.91,1.08,4.032443427997472,10:38:33
0.9,3.91,0.39,497.86,1.24,500.69,4.031153681019864,10:38:34
0.91,3.91,0.4,497.92,0.14,1.29,4.034377275367291,10:38:34
0.91,3.91,0.38,497.38,0.87,500.72,4.032443427997472,10:38:35
0.91,3.91,0.39,498.94,0.11,500.99,4.033398071105802,10:38:35
0.91,3.91,0.39,496.76,-0.11,501.0,4.033398071105802,10:38:36
0.92,3.91,0.39,500.7,-1.71,2.29,4.035665992125711,10:38:36
0.91,3.91,0.38,496.38,-0.07,500.52,4.032443427997472,10:38:37
0.91,3.92,0.38,498.76,0.43,501.06,4.042140522050167,10:38:37
