acX,acY,acZ,gyX,gyY,gyZ,Akselerasi,time
1.01,0.07,3.87,497.87,-0.15,501.04,4.000237492949637,13:06:15
0.99,0.08,3.87,498.64,-0.47,500.55,3.9954223806751648,13:06:16
1.01,0.08,3.86,497.99,0.34,500.74,3.9907518088701033,13:06:16
1.0,0.08,3.85,498.29,-0.14,500.97,3.9785550140723203,13:06:17
1.01,0.08,3.86,496.6,0.16,499.23,3.9907518088701033,13:06:17
1.0,0.18,3.95,482.87,20.4,488.55,4.078590442787802,13:06:18
1.01,0.25,0.28,485.77,15.53,496.19,1.0774970997640783,13:06:18
0.88,0.16,0.34,493.96,11.62,4.0,0.9568698971124548,13:06:19
0.73,0.25,0.46,9.27,4.24,3.9,0.8983317872590282,13:06:19
0.76,0.13,0.57,496.9,10.53,493.26,0.9588534820294495,13:06:20
0.83,0.16,0.59,497.05,4.99,1.46,1.030824912388132,13:06:20
0.77,0.14,0.6,1.05,6.69,499.49,0.986154146165801,13:06:21
0.79,0.06,0.63,494.9,1.81,23.44,1.0122252713699655,13:06:21
0.83,3.97,0.63,494.46,12.95,3.53,4.104473169604109,13:06:22
0.78,3.98,0.69,14.09,478.51,3.34,4.113988332506548,13:06:22
0.76,4.0,0.62,5.86,-0.22,6.35,4.118494870702159,13:06:23
0.81,3.98,0.59,1.14,0.23,4.72,4.104217343172752,13:06:23
0.78,3.97,0.61,494.48,-0.57,498.55,4.09162559381965,13:06:24
1.02,0.08,3.95,497.91,-0.08,510.37,4.08035537667983,13:06:24
1.0,0.09,3.89,498.66,-0.39,506.92,4.017486776580602,13:06:25
1.01,0.09,3.92,498.04,0.38,502.97,4.04902457389431,13:06:25
1.0,0.09,3.89,498.33,-0.1,507.87,4.017486776580602,13:06:26
1.02,0.08,3.9,496.67,0.25,504.97,4.031972222126536,13:06:26
1.01,0.19,3.99,482.93,20.42,498.16,4.12023057607217,13:06:27
1.01,0.26,0.36,485.85,15.59,505.52,1.103313192162588,13:06:27
0.88,0.16,0.4,494.06,11.68,8.87,0.9797958971132712,13:06:28
0.73,0.25,0.49,9.28,4.26,7.69,0.9140568910084317,13:06:28
0.77,0.14,0.66,496.97,10.58,501.32,1.0237675517420934,13:06:29
0.84,0.16,0.62,497.08,5.09,10.79,1.0562196741208714,13:06:29
0.77,0.15,0.62,1.12,6.76,506.92,0.9998999949995,13:06:30
0.79,0.07,0.68,494.92,1.9,32.81,1.0447009141376302,13:06:30
0.83,3.98,0.67,494.48,13.0,10.29,4.120461139241578,13:06:31
0.78,3.99,0.73,14.1,478.61,4.9,4.130544758261312,13:06:31
0.77,4.0,0.7,5.91,-0.18,7.55,4.133146501153812,13:06:32
0.81,3.98,0.68,1.16,0.3,10.58,4.1181185024231635,13:06:32
0.78,3.98,0.69,494.5,-0.51,501.13,4.113988332506548,13:06:33
