acX,acY,acZ,gyX,gyY,gyZ,Akselerasi,time
0.94,0.37,3.94,498.64,2.79,2.12,4.067443914794646,11:46:5
0.95,0.36,3.93,498.08,0.51,1.55,4.059187110740277,11:46:5
0.94,0.36,3.93,497.94,1.11,500.13,4.056858390429718,11:47:0
0.94,0.37,3.95,498.11,1.47,499.63,4.077131344462673,11:47:0
0.95,0.37,3.95,498.45,1.12,1.39,4.079448492137142,11:47:0
0.87,0.32,3.93,18.32,474.94,1.79,4.03784596041008,11:47:0
0.83,0.22,3.19,17.42,463.24,498.82,3.3035435520059364,11:47:0
0.68,0.24,3.49,470.6,73.09,487.0,3.5637199665518056,11:47:0
0.92,0.35,3.82,498.58,10.6,5.64,3.944781362762707,11:47:0
0.96,0.32,3.87,496.22,497.46,500.67,4.000112498418013,11:47:0
0.95,0.33,3.87,500.53,1.26,501.06,3.9985372325389195,11:47:0
