acX,acY,acZ,gyX,gyY,gyZ,Akselerasi,time
0.9,0.0,0.42,496.65,0.69,500.8,0.993176721434811,10:32:41
0.89,0.0,0.42,498.01,0.13,500.67,0.9841239759298622,10:32:41
0.89,0.0,0.43,497.3,1.53,500.11,0.9884331034521254,10:32:42
0.9,0.0,0.42,499.72,0.72,1.35,0.993176721434811,10:32:42
0.89,0.01,0.43,497.35,0.15,500.73,0.9884836872705588,10:32:43
0.9,0.0,0.43,498.14,-0.05,1.15,0.9974467404327912,10:32:43
0.9,0.0,0.42,498.41,0.77,500.34,0.993176721434811,10:32:44
0.89,0.01,0.43,499.23,0.53,500.96,0.9884836872705588,10:32:44
0.89,0.01,0.44,496.99,0.36,500.66,0.9928746144403129,10:32:45
0.89,0.01,0.43,499.32,0.01,1.86,0.9884836872705588,10:32:45
0.9,0.01,0.42,497.69,-0.37,500.85,0.9932270636667127,10:32:46
0.9,0.0,0.42,498.74,1.69,500.89,0.993176721434811,10:32:46
0.99,0.06,0.17,6.55,46.67,468.77,1.0062802790475425,10:33:10
0.73,0.37,0.59,0.72,-0.34,20.19,1.0089103032480142,10:33:10
0.71,0.3,0.59,35.32,12.22,56.94,0.9706698717895801,10:33:11
0.75,0.03,0.6,488.65,3.6,3.16,0.960937042682818,10:33:11
0.78,0.25,0.61,474.82,0.09,473.76,1.0212737145349429,10:33:12
0.81,0.11,0.55,481.07,6.39,487.32,0.9852410872471773,10:33:12
0.82,0.13,0.55,499.23,2.23,1.28,0.9958915603618699,10:33:13
0.8,0.19,0.56,9.08,2.15,6.64,0.9948366700117162,10:33:13
0.79,0.18,0.56,482.69,493.92,485.71,0.9849365461794989,10:33:14
0.81,0.13,0.54,499.54,-0.4,1.64,0.9821405194777375,10:33:14
0.82,0.12,0.53,498.14,0.7,0.98,0.983717439105356,10:33:15
0.82,0.11,0.53,498.67,0.76,1.13,0.98254770876533,10:33:15
0.82,0.12,0.53,0.7,0.92,2.3,0.983717439105356,10:33:17
0.87,0.09,0.53,499.15,-0.05,1.94,1.0226925246622272,10:33:17
0.82,0.11,0.54,497.45,3.11,499.27,0.9879777325425912,10:33:18
0.82,0.11,0.57,499.22,5.02,2.58,1.0046890066085126,10:33:18
0.79,0.1,0.58,499.14,497.14,2.64,0.9851395840184274,10:33:19
0.74,0.07,0.62,484.38,8.41,493.46,0.9679359482941008,10:33:19
0.81,0.07,0.58,494.0,-1.4,0.96,0.9986991538997118,10:33:20
0.8,0.06,0.57,500.78,7.5,1.11,0.9841239759298622,10:33:20
0.83,0.06,0.55,498.54,497.58,500.76,0.9974968671630002,10:33:21
0.81,0.07,0.55,498.36,0.6,500.88,0.9815803584016951,10:33:21
1.0,0.01,0.44,496.73,1.14,500.92,1.092565787492909,10:33:22
0.99,0.0,0.45,498.21,0.58,500.97,1.0874741376235115,10:33:22
1.2,0.0,0.51,497.38,1.98,500.55,1.3038788287260439,10:33:23
1.08,0.0,0.52,499.84,1.15,1.64,1.1986659251017358,10:33:23
1.25,0.02,0.49,497.63,0.23,500.91,1.3427583550289308,10:33:24
1.33,0.0,0.47,498.61,0.38,1.28,1.4106027080648895,10:33:24
1.37,0.01,0.42,498.62,1.16,500.58,1.4329689459300925,10:33:25
0.98,0.02,0.51,499.63,0.57,501.03,1.104943437466371,10:33:25
0.93,0.01,0.53,497.38,0.68,500.79,1.070467187726929,10:33:26
1.24,0.02,0.52,499.48,0.03,2.3,1.344767637921139,10:33:26
0.94,0.01,0.46,497.84,-0.15,501.25,1.0465658125507444,10:33:26
1.39,0.01,0.43,499.14,1.79,501.36,1.455025772967613,10:33:26
1.49,0.07,0.25,6.59,46.97,469.07,1.5124483462254175,10:33:27
0.96,0.37,0.69,0.91,-0.22,20.4,1.238789731956154,10:33:27
0.86,0.3,0.66,35.78,12.41,57.27,1.1248110952511092,10:33:28
1.21,0.03,0.63,489.02,3.78,3.18,1.3645145656972666,10:33:28
0.95,0.25,0.69,474.87,0.35,473.79,1.2004582458378132,10:33:29
1.01,0.11,0.62,481.27,6.56,487.33,1.1902100654926424,10:33:29
0.82,0.14,0.64,499.36,2.25,1.58,1.049571341072154,10:33:30
1.23,0.19,0.66,9.57,2.34,6.9,1.4087583185202492,10:33:30
1.02,0.18,0.59,483.06,494.27,485.82,1.192015100575492,10:33:31
1.03,0.13,0.56,499.82,-0.15,1.92,1.17957619508025,10:33:31
1.15,0.12,0.55,498.58,1.08,1.12,1.2803905654135381,10:33:32
1.28,0.12,0.61,498.98,1.22,1.42,1.4229898102235308,10:33:32
0.98,0.12,0.6,1.05,1.08,2.49,1.1553354491228944,10:33:33
1.08,0.09,0.54,499.31,0.11,2.44,1.210826164236634,10:33:33
1.18,0.12,0.57,497.66,3.42,499.62,1.3159407281484983,10:33:34
1.24,0.12,0.62,499.65,5.19,2.86,1.3915459029439166,10:33:34
0.8,0.1,0.64,499.21,497.48,3.07,1.0293687385966217,10:33:35
1.17,0.08,0.65,484.74,8.68,493.67,1.340820644232479,10:33:35
1.25,0.07,0.6,494.26,-1.23,1.29,1.3883083231040574,10:33:35
1.02,0.06,0.66,501.2,7.89,1.14,1.2163880959627975,10:33:35
1.04,0.07,0.61,498.69,497.6,501.06,1.2077251342917394,10:33:36
