acX,acY,acZ,gyX,gyY,gyZ,Akselerasi,time
3.03,3.95,0.22,488.01,497.24,500.59,4.983151613186178,12:22:20
2.36,3.74,0.46,466.22,467.48,5.16,4.446211870795183,12:22:20
3.15,3.87,0.24,397.11,6.62,25.49,4.995698149408149,12:22:21
3.25,0.31,0.33,403.1,18.79,21.87,3.281386901905961,12:22:21
3.42,0.06,0.48,121.06,444.84,467.87,3.454041111509821,12:22:22
3.45,3.74,0.81,490.58,478.06,497.5,5.152300457077402,12:22:22
3.69,3.83,0.96,496.44,-0.1,498.58,5.404313092336528,12:22:23
3.7,3.79,1.05,9.47,20.29,3.66,5.399685176007949,12:22:23
3.52,3.93,0.76,488.1,44.08,12.94,5.330375221314162,12:22:24
3.07,3.96,0.51,466.78,61.02,18.9,5.036526580888856,12:22:24
3.02,3.82,0.18,489.83,-0.77,6.19,4.872904677910292,12:22:25
3.12,0.14,0.12,448.94,-0.96,22.29,3.125443968462721,12:22:25
3.04,3.93,0.36,428.15,-0.16,22.46,4.981576055828115,12:22:26
3.19,0.19,0.28,447.25,488.62,16.39,3.207896507058792,12:22:26
3.38,0.03,0.51,499.08,488.8,8.9,3.41839143457855,12:22:27
3.31,0.03,0.86,466.03,15.69,42.95,3.4200292396410883,12:22:27
3.2,3.77,0.09,1.02,86.42,469.27,4.945806304335017,12:22:28
3.05,3.95,0.04,0.73,4.75,18.04,4.99065126010624,12:22:28
3.05,3.98,0.13,492.55,488.42,492.9,5.015954545248591,12:22:29
3.21,0.08,0.48,489.92,29.18,6.64,3.246675222439103,12:22:29
3.0,0.0,0.1,499.04,19.23,499.16,3.0016662039607267,12:22:30
2.99,0.01,0.04,499.19,498.08,1.06,2.9902842674234167,12:22:30
3.02,0.02,0.07,498.42,-0.25,500.71,3.0208773560010673,12:22:31
3.0,0.02,0.07,497.72,494.76,1.39,3.0008832033253143,12:22:32
3.0,4.0,0.11,497.08,0.7,498.97,5.00120985362542,12:22:32
3.0,3.99,0.09,498.18,2.06,1.27,4.992814837343761,12:22:33
3.0,3.99,0.1,498.32,1.15,500.55,4.993005107147399,12:22:33
3.0,4.0,0.11,496.73,-0.08,1.34,5.00120985362542,12:22:34
3.02,3.97,0.1,497.82,4.31,1.29,4.989118158552672,12:22:34
3.01,0.04,0.08,498.08,1.65,1.71,3.01132861043095,12:22:35
3.0,3.98,0.06,497.58,-0.7,500.79,4.98437558777426,12:22:35
3.01,3.98,0.05,492.86,10.76,1.15,4.990290572702155,12:22:36
2.98,3.97,0.07,494.4,7.65,496.94,4.9644939319129,12:22:36
3.0,4.0,0.06,499.28,-0.18,500.08,5.000359987040933,12:22:37
2.99,3.99,0.07,497.89,497.88,500.97,4.9864917527255574,12:22:37
3.01,4.0,0.07,498.8,-0.12,1.05,5.006495780483591,12:22:38
3.01,3.99,0.05,498.93,-0.15,1.48,4.998269700606401,12:22:38
3.0,3.99,0.06,498.2,-0.32,0.88,4.992364169409119,12:22:39
3.0,3.99,0.05,498.22,0.38,501.05,4.99225399994832,12:22:39
3.0,3.99,0.06,498.15,0.38,501.0,4.992364169409119,12:22:40
3.0,4.0,0.06,498.01,0.7,500.9,5.000359987040933,12:22:40
3.01,3.99,0.07,498.25,0.44,500.97,4.998509777923816,12:22:41
3.0,3.99,0.06,498.22,0.53,0.9,4.992364169409119,12:22:41
3.01,4.0,0.05,498.16,1.1,500.84,5.006256086138623,12:22:42
3.0,3.99,0.07,498.27,0.56,0.84,4.992494366546646,12:22:42
3.0,3.99,0.06,497.74,0.56,500.64,4.992364169409119,12:22:43
3.0,3.99,0.08,498.19,0.89,500.81,4.99264458979407,12:22:43
3.01,3.99,0.06,498.45,-0.12,500.91,4.998379737474935,12:22:44
3.01,3.99,0.06,497.99,0.66,500.55,4.998379737474935,12:22:44
3.01,0.0,0.07,498.11,0.34,0.86,3.010813843464919,12:22:45
3.04,3.95,0.23,488.05,497.33,506.91,4.989689369089022,12:22:45
2.36,3.75,0.53,466.25,467.55,7.96,4.462398458228489,12:22:46
3.15,3.88,0.28,397.2,6.64,32.52,5.005526945287579,12:22:46
3.25,0.32,0.35,403.18,18.82,26.11,3.2844177566198853,12:22:47
3.43,0.06,0.57,121.11,444.89,471.91,3.477556613485969,12:22:47
3.46,3.75,0.91,490.59,478.09,505.41,5.182875649675574,12:22:48
3.69,3.84,1.0,496.5,-0.03,501.92,5.418643741749405,12:22:48
3.71,3.79,1.11,9.49,20.3,8.44,5.418514556592055,12:22:49
3.53,3.94,0.8,488.19,44.17,18.38,5.350186912622773,12:22:49
3.08,3.97,0.58,466.84,61.06,20.45,5.058033214600316,12:22:50
3.03,3.82,0.22,489.91,-0.76,11.87,4.880747893509764,12:22:50
3.13,0.15,0.21,448.95,-0.9,28.85,3.1406209577088413,12:22:51
3.05,3.93,0.45,428.19,-0.07,24.34,4.994987487471816,12:22:51
3.2,0.2,0.36,447.3,488.68,21.85,3.226391172812125,12:22:52
3.38,0.03,0.55,499.17,488.89,18.13,3.424587566408545,12:22:52
3.31,0.04,0.94,466.07,15.72,45.35,3.4411190040450506,12:22:53
3.2,3.78,0.14,1.06,86.48,479.0,4.954593827954013,12:22:53
3.05,3.95,0.06,0.82,4.83,24.13,4.990851630733977,12:22:54
3.06,3.98,0.23,492.57,488.48,497.93,5.025624339323424,12:22:54
3.21,0.09,0.53,489.95,29.26,9.29,3.254704287642735,12:22:55
3.0,0.01,0.15,499.12,19.25,502.32,3.0037643050013094,12:22:55
3.0,0.01,0.08,499.24,498.15,8.02,3.0010831378020835,12:22:56
3.03,0.03,0.12,498.52,-0.18,510.11,3.032523701473741,12:22:56
3.01,0.02,0.11,497.75,494.84,5.56,3.0120756962599726,12:22:57
3.01,4.01,0.2,497.15,0.75,502.07,5.017987644464661,12:22:57
3.0,4.0,0.15,498.26,2.12,8.46,5.0022494939776845,12:22:58
3.0,3.99,0.19,498.35,1.16,506.52,4.995618079877604,12:22:58
3.01,4.0,0.21,496.79,0.02,5.6,5.010409164928549,12:22:59
3.02,3.98,0.19,497.85,4.35,8.91,4.999689990389404,12:22:59
3.01,0.04,0.13,498.1,1.68,6.03,3.013071522549705,12:23:00
3.0,3.99,0.1,497.6,-0.68,508.65,4.993005107147399,12:23:00
3.01,3.98,0.14,492.89,10.84,2.17,4.992003605767929,12:23:01
2.98,3.98,0.1,494.45,7.69,499.46,4.9730071385430366,12:23:01
3.01,4.01,0.08,499.37,-0.08,505.75,5.014638571223254,12:23:02
3.0,4.0,0.17,497.97,497.94,508.87,5.002889165272403,12:23:02
3.02,4.01,0.1,498.81,-0.07,9.12,5.021005875320204,12:23:03
3.01,4.0,0.14,498.99,-0.12,5.84,5.007963658015102,12:23:03
3.0,4.0,0.09,498.27,-0.29,3.95,5.0008099344006265,12:23:04
3.0,4.0,0.13,498.24,0.47,509.75,5.001689714486496,12:23:04
3.0,3.99,0.08,498.23,0.47,503.96,4.99264458979407,12:23:05
3.01,4.01,0.1,498.03,0.79,504.44,5.014997507476948,12:23:05
3.02,4.0,0.13,498.28,0.52,510.85,5.013711200298637,12:23:06
3.0,4.0,0.13,498.28,0.6,7.37,5.001689714486496,12:23:06
3.01,4.01,0.1,498.21,1.17,507.86,5.014997507476948,12:23:07
3.01,4.0,0.1,498.35,0.64,5.38,5.0070050928673915,12:23:07
3.0,3.99,0.16,497.77,0.61,502.54,4.994567048303587,12:23:08
3.01,4.0,0.17,498.21,0.93,504.61,5.008892093068087,12:23:08
3.02,3.99,0.14,498.53,-0.02,505.34,5.006006392325124,12:23:09
3.01,4.0,0.13,498.03,0.73,507.51,5.007694080113121,12:23:09
3.01,0.01,0.17,498.16,0.36,10.19,3.0148134270631073,12:23:10
