No,Waktu,accx,accY,accZ,gyroX,gyroY,gyroZ,akselerasi,roll,pitch,yaw
1,09:39:4,0.0,3.0583565539670605,3.874776980763296,3.8531396251495913,446.09251913194856,118.25118833199156,4.936338872266206,114.25481625123152,37.23241575619371,26.784287461833813
2,09:39:4,2.054927432359792,3.2932143978045776,3.867215591176336,146.20521120601734,323.64716511571453,84.31878767817794,5.479356189445026,82.38013792892457,26.1758568777986,32.94860471024231
3,09:39:4,2.4858467530994837,3.4618048899017846,3.861438876681382,250.23149884916123,233.9690632145885,203.5362419829763,5.7510205506492085,60.832842117297375,19.20921479136192,39.85555904590379
4,09:39:4,2.682294067062441,3.584787030352743,3.856972642107782,326.1813522982014,168.37426660077554,146.67797458310753,5.909453229965654,46.57820565491369,15.06845498274287,42.521527508327
5,09:39:4,2.7945622982636418,3.677275298777294,3.8534696692907713,381.8604816243326,120.51088059011263,105.1120475398037,6.015077767911079,37.44082037784244,12.849120278879887,44.48564395488863
6,09:39:4,2.8655585542620727,3.741694116940848,3.8506756972466882,421.73188002043855,85.79765665047142,218.612892285742,6.086000658726596,31.85299058594112,11.914748509053938,48.304905952513515
7,09:39:4,2.9208464401737726,3.79133456145991,3.8484045179121504,450.9655071449804,59.68270887248446,301.61790798573134,6.141317368242978,28.701003441454468,11.823118243147652,51.14093217401471
8,09:39:4,2.9574424577927827,3.8244086724973925,3.843645883064094,472.27512432217986,40.28881503285533,218.37563710418002,6.176259487733999,27.194242231252257,12.260031970224748,50.82658254454301
9,09:39:4,2.9838549360040676,3.8511211550223234,3.845694777891962,488.0590402283708,26.759450665096203,157.44854194980667,6.206761857400509,26.77445789765453,13.007848405833967,50.57565138747379
10,09:39:4,3.0058467293449116,3.8703046375628007,3.844102566604268,499.18374303564804,17.245617345771127,256.8383236796435,6.2282820336291085,27.050414535811463,13.927206283553748,52.827665428803634
11,09:39:4,3.0188742911576734,3.883984165472203,3.839851409019775,507.29413377481444,10.068623302728282,329.5239994704053,6.240464231674011,27.7550259330895,14.91595991863696,54.493908161606434
12,09:39:4,3.0282276649241684,3.8907663242053814,3.839408582783949,513.1508995312237,4.665366934540614,382.51815688138333,6.248942602211817,28.696159468739623,15.910180851741986,55.683997930224756
13,09:39:4,3.0377752156042943,3.895385057378735,3.838879729629281,517.5181464607803,0.9431631817907702,421.28304180294776,6.256125045453282,29.74887790513162,16.87442942493478,56.57250460001782
14,09:39:4,3.041691617923606,3.898426484200932,3.835416840122932,520.2500929570429,-1.6327679399754547,449.5234582361095,6.25779827804992,30.83476388909386,17.78197990878072,57.2391262632608
15,09:39:4,3.0472635234426506,3.900319449598558,3.835561272640704,522.1211289985544,-3.707234243800665,470.02084331967507,6.2617758716199745,31.897496014755703,18.621960323659717,57.72068459618979
16,09:39:4,3.0511604468832867,3.901377692865643,3.835472080961751,523.637364256804,-4.925435918913735,340.9432321423964,6.264277616681091,32.90725446693735,19.389427946728752,55.68269921921657
17,09:39:4,3.050946757747555,3.9047050277462083,3.832340330163723,524.4351555162317,-5.661717961900207,246.56453434947286,6.26432996245538,33.85319543646202,20.080299751584143,54.22359365857797
18,09:39:5,3.053508106994151,3.9068214061678908,3.832736913051042,525.2358795069484,-6.411694293517147,321.5054922359417,6.267139499311843,34.72218511629124,20.699910721946917,55.54838811358873
19,09:39:5,3.052325950652091,3.905182877509178,3.8328415837562066,382.29513303111935,-7.422574974187171,232.24136978221554,6.2656062453673105,35.14553319331281,21.24951143848245,54.103824538078605
20,09:39:5,3.04841249484577,3.9094262477995385,3.841360563165847,279.5244471814763,-6.864955403857643,167.0324781935154,6.271561472389602,35.28605123208271,21.728790981191793,53.008252016942166
21,09:39:5,3.0425087420747707,3.8921094553836317,3.8387825555079456,204.67764638301742,-1.207173524382525,120.18735671100667,6.256326954912138,35.23557298105474,22.1713736920684,52.19003940054852
22,09:39:5,3.0842094044042367,3.8992708855718234,3.7964652667463272,287.711288790735,6.752159518519617,228.17821109040747,6.255382451209108,35.44711639102194,22.65169984361712,54.513393891352095
23,09:39:5,3.111639960119292,3.878354019358817,3.6762204054663297,208.75046931364386,3.9073119311553417,165.6278463623649,6.18373104286198,35.4939976063372,23.172324487097786,54.43229735226718
24,09:39:5,3.1142163356265167,3.865653549431223,3.668676104558604,152.21287990029597,132.8684961606558,120.35295669560226,6.172584961705473,35.40285102636427,23.96769448959327,53.713572523533664
25,09:39:5,3.104401014651638,3.861842601745929,3.7147977001502226,252.27424563534208,237.76589524722112,229.1455883600491,6.192806786382994,35.570983249272295,24.887142391973605,55.155026747607984
26,09:39:5,3.08842089648315,3.8645371012586187,3.768521211931476,325.420495599746,314.8928760563874,308.65487614787656,6.218902054672966,35.893957511269655,25.826090131570304,56.06344692418728
27,09:39:5,3.0765904695599122,3.866244752498334,3.8047843328374666,378.6912956685979,228.26768252438038,223.15259462432377,6.236155965257222,36.30476551375742,26.37926159750402,54.36432770309879
28,09:39:5,3.0677998955874997,3.8729814658821984,3.8311466845125595,417.7386289085295,164.54715398969137,160.28706888810757,6.252124962977409,36.76342788755152,26.66941242352643,53.1479388594945
