No,Waktu,roll,pitch,yaw,kf_roll,kf_pitch,kf_yaw
1,13:06:15,1.4187205420193973,2.2304919860404837,23.011148234472035,188.74715868983526,33.50784952687542,27.775653961502076
2,13:06:16,2.6450470448420953,4.077485913163698,22.736668559330035,134.97657909511193,22.983286685992706,25.50114020619532
3,13:06:16,3.6828591039507783,5.692655563725592,23.05277052581478,96.02594563952995,15.845246283778927,23.773371178444187
4,13:06:17,4.563660786033678,7.044528919842232,22.9543111760658,67.86878610570574,11.118480408974897,22.615305489027794
5,13:06:17,5.305269054113136,8.206641162605706,23.027603859148115,47.56661770303082,8.080100639852228,21.75485042228706
6,13:06:18,6.109474722056048,9.171623515773296,22.568127488452436,32.97348582644742,6.22215477532018,21.16136432774487
7,13:06:18,8.459035102537635,18.430890889613984,83.20800541073216,22.57653418789486,5.170754782858165,20.61001366138575
8,13:06:19,9.892839432960606,25.850549384997514,69.25330381547207,15.694793260875398,7.092980435380994,37.63755353769063
9,13:06:19,10.872169487522553,30.209078009640287,59.26385262483239,11.121265943166057,10.659680639021055,46.0898594986737
10,13:06:20,11.66563036728744,33.62554424170132,61.74686788536523,8.105392206224572,14.547442003439382,49.40808613922659
11,13:06:20,12.511909928230219,36.689405589190486,55.1095843049149,6.175160000490161,18.397596368686145,52.553130293057
12,13:06:21,11.850973857531546,38.94047254831852,60.84919835982848,5.053768033763585,22.117346946320936,52.951326085075706
13,13:06:21,11.819791011384932,40.83082275233558,51.899721102878196,4.089861081360194,25.50665005934663,54.89519210062597
14,13:06:22,22.759271982669148,36.41498467154231,81.22955617671069,3.4218029830813306,28.549289060823245,53.750326682895576
15,13:06:22,30.815414558714927,33.743884277935145,80.40037545371968,6.124941366903302,29.524884051570982,61.33974196334238
16,13:06:23,37.756846313471016,30.218078303111373,81.4476035412764,10.462190970957645,29.489875189210977,66.65292788246657
17,13:06:23,43.573256116008935,27.345440000806406,81.81351791401127,15.671651040152144,28.470009598503196,70.83894067331514
18,13:06:24,49.776097010497196,24.849054501730166,89.73527892681896,21.193044496831504,26.917733872164433,74.00387880269435
19,13:06:24,43.6203752502321,23.266555353202115,23.027825696581495,27.05134389857352,25.084453411736085,78.59088184362962
20,13:06:25,38.43001059935443,21.915041690370312,22.921323270442947,29.599422661915995,23.30856443577335,62.7876378887324
21,13:06:25,34.02829479395573,20.776440505013454,22.88586457491782,30.003430606728486,21.6412412684373,51.2028360743129
22,13:06:26,30.300289873696496,19.80551215800704,22.93715660377628,29.065882347296682,20.114671212433812,42.726391651319766
23,13:06:26,27.114358083762873,19.020293998895994,23.11598551570136,27.340920658988814,18.739343656999218,36.55013999658438
24,13:06:27,24.60923803346749,18.335328672608068,22.74655243544855,25.196108009663906,17.52806220483651,32.094137096176226
25,13:06:27,24.169676941237352,25.68643891690293,79.38160389766307,22.940217633521467,16.46558285612077,28.739760827102973
26,13:06:28,23.17252436130734,31.54768121274322,66.05300449240418,21.19722879285698,17.820811786718682,42.55781973182159
27,13:06:28,22.08263107717719,34.83092816218523,57.711560288637166,19.668941945161848,20.5150739979234,48.841942422661276
28,13:06:29,21.176532124765483,36.984842442086084,58.213836979259966,18.270919146889714,23.44664533245841,51.046996903229356
29,13:06:29,20.539065444846823,39.392353544770444,54.23550128883951,17.020894946643086,26.22611356234899,52.80757694196246
30,13:06:30,18.72493986529734,41.082695184261105,60.128014555561236,15.956184691288666,28.966118942667638,52.95628131345693
31,13:06:30,17.712927953473464,42.315096954421556,49.93704956224743,14.688471273168135,31.470163648525123,54.75993098252641
32,13:06:31,27.708298495780433,37.665969449343095,80.8134914429057,13.502814070619083,33.66913310741908,53.156056728603865
33,13:06:31,34.95977350868969,34.797530832965805,79.9022097417458,15.541668056740722,33.95454645649384,60.84990810746519
34,13:06:32,41.146303830615715,31.12680193748746,80.37509483214171,19.14823968520992,33.35201809553257,66.21514498750967
35,13:06:32,46.33151337395818,28.109783685502503,80.67191494158216,23.593353699614028,31.869741870956272,70.27340761333784
36,13:06:33,52.013271669976824,25.487730899935315,88.69687545371967,28.361918602080884,29.93222086597211,73.32427430551067
