acX,acY,acZ,gyX,gyY,gyZ,Akselerasi,time
0.73,0.42,3.27,0.71,481.76,496.68,3.376714379393081,12:59:02
0.66,0.47,3.34,15.38,496.85,6.6,3.4368735792868494,12:59:03
0.74,0.29,3.26,3.38,497.81,4.32,3.355488041999256,12:59:03
0.62,0.35,3.29,489.25,1.63,497.93,3.3661550766415975,12:59:04
0.63,0.47,3.4,9.17,494.63,3.42,3.4896704715488536,12:59:04
0.72,0.33,3.27,8.28,2.95,13.8,3.364550490035779,12:59:05
0.71,0.36,3.3,484.23,-0.02,500.91,3.3946575674138324,12:59:057
0.56,0.47,3.33,493.6,495.22,486.41,3.4093107807883984,12:59:06
0.59,0.31,3.29,7.22,6.14,497.94,3.356828860695761,12:59:06
0.73,0.31,3.29,489.27,0.03,493.98,3.3842428990839295,12:59:07
0.63,0.49,3.36,2.16,493.43,489.1,3.4534909873923225,12:59:07
0.59,0.34,3.22,10.54,14.07,495.0,3.2912155809062402,12:59:08
0.71,0.3,3.29,491.41,0.17,3.17,3.3790827157676975,12:59:08
0.71,0.44,3.25,491.07,496.69,497.7,3.3556221479779276,12:59:09
0.68,0.47,3.37,20.49,498.12,1.02,3.469899133980699,12:59:09
0.71,0.31,3.3,6.59,495.77,1.66,3.38971975242792,12:59:10
0.7,0.42,3.33,497.09,9.18,485.73,3.428600297497508,12:59:10
0.61,0.47,3.35,19.94,10.01,491.03,3.437368179290662,12:59:11
0.64,0.3,3.23,22.35,10.69,485.35,3.306433123473088,12:59:11
0.64,0.44,3.28,7.35,14.98,482.0,3.370697257245153,12:59:12
0.66,0.32,3.25,15.74,17.02,482.43,3.3317412864746867,12:59:12
0.61,0.41,3.24,3.55,22.84,480.94,3.322318467576521,12:59:13
0.74,0.38,3.23,28.32,0.83,480.07,3.3354010253641166,12:59:13
0.66,0.39,3.3,10.0,6.07,476.45,3.387875440449368,12:59:14
0.52,0.42,3.32,36.27,26.44,471.02,3.3866207345966566,12:59:14
0.72,0.34,3.25,493.16,0.18,492.71,3.346117152760794,12:59:15
0.66,0.52,3.34,5.73,8.37,495.49,3.4440673628719867,12:59:15
0.67,0.29,3.28,10.25,5.76,491.68,3.360267846467004,12:59:16
0.54,0.52,3.26,489.71,3.61,487.11,3.3450859480736814,12:59:16
0.62,0.35,3.2,497.64,496.35,14.49,3.2782464824963973,12:59:17
0.73,0.34,3.32,479.28,494.31,3.87,3.4162698956610558,12:59:17
0.7,0.49,3.4,1.54,495.92,7.06,3.505723891010243,12:59:18
0.73,0.34,3.28,497.83,494.95,10.37,3.377410250472986,12:59:18
0.71,0.33,3.3,480.67,0.88,498.7,3.3916072885875215,12:59:19
0.65,0.51,3.35,2.26,487.24,5.84,3.4503767910186274,12:59:19
0.67,0.31,3.23,2.4,497.1,13.25,3.313291414892448,12:59:20
0.72,0.33,3.31,479.92,1.53,1.13,3.403439436805068,12:59:20
0.64,0.45,3.31,4.33,491.85,5.9,3.4012056685828336,12:59:21
0.65,0.29,3.22,1.85,493.29,9.61,3.29772648956823,12:59:22
0.69,0.33,3.3,482.93,0.91,498.31,3.387476937190864,12:59:22
0.6,0.49,3.33,491.34,492.65,495.05,3.4189179574830395,12:59:23
0.64,0.38,3.26,1.29,7.48,5.02,3.3438899503422657,12:59:23
0.72,0.31,3.27,492.94,-1.0,498.5,3.3626477662699075,12:59:24
0.59,0.49,3.23,489.45,0.33,490.84,3.3198042110943833,12:59:24
0.56,0.37,3.24,1.12,11.63,2.57,3.3087913201046697,12:59:25
0.69,0.3,3.27,492.85,-1.69,495.36,3.355443338815305,12:59:25
0.57,0.5,3.3,490.95,496.21,492.06,3.3859858239514233,12:59:26
0.62,0.43,3.25,496.4,496.34,5.33,3.336435223408361,12:59:26
0.68,0.32,3.28,495.32,2.6,489.07,3.3649962852876967,12:59:27
0.64,0.47,3.37,1.01,494.45,492.23,3.4622824841425057,12:59:27
0.6,0.35,3.23,493.3,4.95,6.76,3.3038462433957183,12:59:28
0.66,0.34,3.28,498.45,-0.25,487.53,3.3629748735308738,12:59:28
0.6,0.51,3.33,492.93,494.88,499.18,3.4218416094261292,12:59:29
0.65,0.39,3.28,495.58,497.46,9.06,3.3664521383795134,12:59:29
0.69,0.32,3.29,500.69,0.3,498.69,3.376773608046592,12:59:30
0.65,0.41,3.3,1.52,10.54,486.77,3.3883034102630183,12:59:30
0.65,0.53,3.27,6.22,496.42,18.99,3.375840636049042,12:59:31
0.71,0.3,3.26,4.78,2.15,500.62,3.349880594886928,12:59:31
0.66,0.38,3.27,500.68,2.49,492.41,3.3575139612516876,12:59:32
0.72,0.46,3.31,2.17,495.73,499.51,3.4184938203834743,12:59:32
0.66,0.35,3.26,500.5,1.84,500.3,3.3445029526074572,12:59:33
