acX,acY,acZ,gyX,gyY,gyZ,Akselerasi,time
2.79,0.06,3.78,53.5,22.7,493.45,4.698521043903071,11:06:29
3.01,0.02,3.48,420.39,0.32,476.53,4.601184630070826,11:06:29
3.05,3.88,3.5,441.03,483.15,470.41,6.050363625436078,11:06:30
3.06,3.86,3.67,436.64,7.49,483.48,6.142646009660657,11:06:30
3.18,0.11,3.31,21.57,497.98,478.29,4.5913614538609355,11:06:31
3.14,3.85,3.52,491.41,487.6,493.48,6.088719077113018,11:06:31
3.22,3.84,3.39,487.9,37.76,490.28,6.050297513345934,11:06:32
3.31,3.81,3.24,486.32,1.17,497.67,5.997482805310908,11:06:32
3.35,3.75,3.32,27.11,466.82,10.97,6.0255622144327745,11:06:33
2.95,3.64,0.15,9.32,432.21,499.89,4.687707328748244,11:06:33
3.08,3.92,0.32,20.9,473.11,4.78,4.995517991159676,11:06:34
3.09,3.97,0.41,0.62,497.43,500.05,5.047484522016883,11:06:34
3.12,3.94,0.44,498.38,2.83,1.52,5.044957878912371,11:06:35
3.11,3.96,0.42,497.81,2.16,500.71,5.052731934310388,11:06:35
3.11,3.95,0.42,498.28,496.27,500.59,5.044898413248775,11:06:36
3.12,3.94,0.44,498.01,-1.07,0.93,5.044957878912371,11:06:36
3.12,3.95,0.45,498.25,0.18,0.8,5.0536521447365175,11:06:37
3.13,3.95,0.45,497.93,0.22,0.82,5.059832013021777,11:06:37
3.13,3.94,0.46,498.04,0.21,501.0,5.052929843170197,11:06:38
3.14,3.94,0.46,497.98,1.11,0.88,5.059130360052012,11:06:38
3.13,3.96,0.45,498.34,-0.19,500.54,5.06764244989719,11:06:39
3.04,3.9,0.28,454.8,36.18,2.87,4.952776998815916,11:06:39
3.1,3.72,3.71,471.45,138.14,495.48,6.100204914590985,11:06:40
3.38,3.77,3.15,479.93,475.95,30.58,5.963203836864877,11:06:40
3.18,3.83,3.49,498.77,465.51,9.45,6.079588801884549,11:06:41
3.05,0.05,3.69,490.88,3.14,4.4,4.7875985629540825,11:06:41
3.0,3.9,3.83,26.52,486.66,4.39,6.235294700332936,11:06:42
3.0,3.98,3.84,498.06,0.6,499.32,6.291740617666942,11:06:42
3.0,3.96,3.85,491.78,-1.17,500.42,6.285228715011093,11:06:43
3.01,3.96,3.84,494.88,1.66,0.94,6.283892106012005,11:06:44
3.01,3.97,3.83,498.38,1.34,1.08,6.284098980760885,11:06:44
3.0,3.97,3.84,497.59,1.06,0.9,6.285419635951127,11:06:45
3.01,3.98,3.81,496.64,0.67,1.69,6.2782640912914776,11:06:45
3.02,3.97,3.82,498.17,1.0,500.13,6.282809880937032,11:06:46
3.01,3.98,3.81,496.86,0.89,500.87,6.2782640912914776,11:06:46
3.01,3.98,3.81,497.26,0.45,500.9,6.2782640912914776,11:06:47
3.0,3.98,3.81,497.79,-0.02,500.84,6.273475910529983,11:06:47
3.0,3.99,3.82,496.35,0.27,1.67,6.28589691293136,11:06:48
3.0,3.98,3.8,492.85,0.1,500.31,6.267407757598033,11:06:48
3.03,0.01,3.81,494.76,497.27,2.73,4.867966721332429,11:06:49
3.01,0.01,3.8,495.62,1.55,499.95,4.847700485797364,11:06:49
3.01,0.03,3.83,1.02,496.15,1.04,4.871334519410467,11:06:50
3.01,3.97,3.91,500.71,10.31,495.65,6.333174559413312,11:06:50
3.0,3.95,3.83,18.03,5.93,3.1,6.266689716269667,11:06:51
3.03,3.95,3.76,6.51,4.8,499.91,6.238669729998535,11:06:51
3.06,3.87,3.81,1.91,495.95,1.13,6.233506236461146,11:06:52
3.06,3.95,3.78,2.63,498.12,500.9,6.265341171875638,11:06:52
2.98,3.72,3.83,16.31,16.8,493.9,6.114548225339302,11:06:53
3.11,3.97,3.65,3.6,492.5,7.59,6.225391553950643,11:06:53
3.03,3.84,3.72,5.11,492.66,4.45,6.145315288900969,11:06:54
2.99,3.91,3.79,492.2,-1.88,0.96,6.212270116471112,11:06:54
2.97,3.95,3.82,1.85,496.11,2.16,6.246262882716352,11:06:55
3.01,3.9,3.93,492.77,1.48,499.89,6.301983814641228,11:06:55
3.03,3.9,3.98,6.94,1.98,0.91,6.342814832548716,11:06:56
2.79,0.06,3.78,496.98,22.7,493.45,4.698521043903071,11:06:56
3.01,0.02,3.48,443.25,0.32,476.53,4.601184630070826,11:06:57
3.05,3.88,3.5,461.53,483.15,470.41,6.050363625436078,11:06:57
3.06,3.86,3.67,434.26,7.49,483.48,6.142646009660657,11:06:58
3.18,0.11,3.31,430.39,497.98,478.29,4.5913614538609355,11:06:58
3.14,3.85,3.52,457.57,487.6,493.48,6.088719077113018,11:06:59
3.22,3.84,3.39,449.58,37.76,490.28,6.050297513345934,11:06:59
3.31,3.81,3.24,488.28,1.17,497.67,5.997482805310908,11:07:00
3.35,3.75,3.32,433.25,466.82,10.97,6.0255622144327745,11:07:00
2.95,3.64,0.15,449.61,432.21,499.89,4.687707328748244,11:07:01
3.08,3.92,0.32,445.3,473.11,4.78,4.995517991159676,11:07:01
3.09,3.97,0.41,487.56,497.43,500.05,5.047484522016883,11:07:02
3.12,3.94,0.44,458.01,2.83,1.52,5.044957878912371,11:07:02
3.11,3.96,0.42,500.24,2.16,500.71,5.052731934310388,11:07:03
3.11,3.95,0.42,445.35,496.27,500.59,5.044898413248775,11:07:03
3.12,3.94,0.44,486.37,-1.07,0.93,5.044957878912371,11:07:04
3.12,3.95,0.45,483.11,0.18,0.8,5.0536521447365175,11:07:04
3.13,3.95,0.45,468.93,0.22,0.82,5.059832013021777,11:07:05
3.13,3.94,0.46,484.59,0.21,501.0,5.052929843170197,11:07:05
3.14,3.94,0.46,430.11,1.11,0.88,5.059130360052012,11:07:06
3.13,3.96,0.45,486.61,-0.19,500.54,5.06764244989719,11:07:06
3.04,3.9,0.28,499.44,36.18,2.87,4.952776998815916,11:07:07
3.1,3.72,3.71,423.34,138.14,495.48,6.100204914590985,11:07:07
3.38,3.77,3.15,455.66,475.95,30.58,5.963203836864877,11:07:08
3.18,3.83,3.49,482.83,465.51,9.45,6.079588801884549,11:07:08
3.05,0.05,3.69,459.11,3.14,4.4,4.7875985629540825,11:07:09
3.0,3.9,3.83,479.28,486.66,4.39,6.235294700332936,11:07:09
3.0,3.98,3.84,464.35,0.6,499.32,6.291740617666942,11:07:10
3.0,3.96,3.85,483.31,-1.17,500.42,6.285228715011093,11:07:10
3.01,3.96,3.84,494.17,1.66,0.94,6.283892106012005,11:07:11
3.01,3.97,3.83,425.19,1.34,1.08,6.284098980760885,11:07:11
3.0,3.97,3.84,451.97,1.06,0.9,6.285419635951127,11:07:12
3.01,3.98,3.81,422.77,0.67,1.69,6.2782640912914776,11:07:12
3.02,3.97,3.82,476.34,1.0,500.13,6.282809880937032,11:07:13
3.01,3.98,3.81,448.74,0.89,500.87,6.2782640912914776,11:07:13
3.01,3.98,3.81,473.69,0.45,500.9,6.2782640912914776,11:07:14
3.0,3.98,3.81,464.72,-0.02,500.84,6.273475910529983,11:07:14
3.0,3.99,3.82,493.64,0.27,1.67,6.28589691293136,11:07:15
3.0,3.98,3.8,462.35,0.1,500.31,6.267407757598033,11:07:15
3.03,0.01,3.81,475.44,497.27,2.73,4.867966721332429,11:07:16
3.01,0.01,3.8,498.45,1.55,499.95,4.847700485797364,11:07:16
3.01,0.03,3.83,432.07,496.15,1.04,4.871334519410467,11:07:17
3.01,3.97,3.91,434.94,10.31,495.65,6.333174559413312,11:07:17
3.0,3.95,3.83,451.79,5.93,3.1,6.266689716269667,11:07:18
3.03,3.95,3.76,486.23,4.8,499.91,6.238669729998535,11:07:18
3.06,3.87,3.81,481.89,495.95,1.13,6.233506236461146,11:07:19
3.06,3.95,3.78,453.73,498.12,500.9,6.265341171875638,11:07:19
