acX,acY,acZ,gyX,gyY,gyZ,Akselerasi,time
3.04,3.85,3.73,498.55,1.24,500.78,6.162548174253894,09:39:2
3.04,3.85,3.72,498.04,-1.0,500.86,6.1565006294160325,09:39:2
3.04,3.85,3.72,498.02,1.14,500.85,6.1565006294160325,09:39:2
3.03,3.84,3.71,498.14,-0.16,500.81,6.139267057230854,09:39:2
3.05,3.85,3.72,498.13,0.38,0.84,6.16144463579768,09:39:2
3.04,3.84,3.73,499.08,-0.85,500.55,6.156305710407826,09:39:2
3.04,3.84,3.71,499.38,2.69,500.68,6.144208655311114,09:39:2
3.01,3.82,3.69,43.31,-1.76,12.74,6.104801389070737,09:39:2
3.1,3.69,3.68,28.0,21.32,3.89,6.063703488792967,09:39:2
3.19,3.95,3.55,3.13,494.41,18.86,6.195248179048197,09:39:2
2.66,3.74,3.57,49.41,462.47,2.54,5.814473320946619,09:39:2
3.03,3.53,3.84,499.6,476.44,1.54,6.0321969463869465,09:39:2
2.98,3.85,3.81,22.39,3.0,491.24,6.182151728969453,09:39:2
3.04,3.79,3.85,467.4,2.61,495.07,6.199048314055957,09:39:2
3.05,3.92,3.77,2.96,13.99,2.11,6.235527243144721,09:39:2
3.13,3.72,3.75,490.54,32.0,488.23,6.139853418445753,09:39:2
3.07,4.0,3.76,1.06,20.31,10.22,6.289872812704562,09:39:2
3.23,3.64,3.7,5.4,0.97,490.23,6.113305161694449,09:39:3
3.1,4.0,3.46,384.22,481.51,463.26,6.130383348535392,09:39:3
3.08,3.89,3.52,351.67,485.94,447.48,6.083494061803627,09:39:3
3.05,3.89,3.51,414.54,475.9,475.55,6.062565463564084,09:39:3
2.89,3.82,3.74,484.35,471.01,3.74,6.077178621696091,09:39:3
3.0,3.86,3.76,7.49,11.63,3.32,6.167430583314254,09:39:3
3.07,3.87,3.76,489.64,11.02,490.77,6.208010953598584,09:39:3
3.08,4.0,3.73,6.59,18.75,1.82,6.276886170705981,09:39:3
3.18,3.8,3.77,0.75,25.56,486.38,6.226178603284683,09:39:3
3.08,3.99,3.67,499.54,25.9,9.11,6.23501403366504,09:39:3
3.18,3.81,3.75,15.31,6.56,479.0,6.22020899970411,09:39:3
3.12,3.68,3.64,13.12,34.55,19.36,6.043707471411898,09:39:3
2.9,3.84,3.54,2.67,2.24,489.37,5.973876463402973,09:39:3
3.18,3.48,3.64,12.75,23.59,1.17,5.9558710530030785,09:39:3
2.99,3.84,3.33,40.9,32.64,16.83,5.896999236900069,09:39:3
