acX,acY,acZ,gyX,gyY,gyZ,Akselerasi,time
0.96,0.33,3.92,495.94,0.44,2.23,4.04930858295586,11:47:1
0.96,0.33,3.93,497.57,0.4,500.22,4.058990022160685,11:47:1
0.95,0.34,3.93,497.6,-1.54,500.81,4.057462261069103,11:47:1
0.96,0.34,3.93,497.24,1.23,0.85,4.059815266733204,11:47:1
0.96,0.34,3.93,483.58,494.85,4.83,4.059815266733204,11:47:1
1.01,0.25,3.89,496.22,487.66,499.53,4.026748067609892,11:47:2
0.9,0.38,3.87,499.92,492.13,497.56,3.9914032620119957,11:47:2
0.91,0.26,3.83,497.61,1.49,4.19,3.9451996147216684,11:47:2
0.82,0.4,3.75,472.51,3.89,488.81,3.859391143690932,11:47:2
0.8,0.37,3.62,11.32,12.11,7.38,3.7257616670957363,11:47:2
1.02,0.41,3.71,472.92,11.79,486.75,3.8694444045624947,11:47:2
0.95,0.59,3.78,10.17,14.85,15.93,3.9419538302724955,11:47:2
0.97,0.29,3.86,6.08,-1.78,497.58,3.9905638699311656,11:47:2
0.88,0.43,3.85,499.75,488.53,500.94,3.9726313697598474,11:47:2
0.98,0.18,3.78,499.84,485.83,6.02,3.9091175474779467,11:47:2
0.72,0.38,3.74,473.03,482.92,491.19,3.8275840944386843,11:47:2
0.85,0.34,3.68,12.47,3.95,3.7,3.7921629711814866,11:47:2
0.98,0.38,3.71,1.79,17.24,483.92,3.856021265501527,11:47:2
0.96,0.52,3.77,54.09,13.69,499.63,3.924907642225483,11:47:2
0.92,0.25,3.5,59.32,31.11,459.68,3.6275198138673206,11:47:2
0.97,0.39,3.6,118.4,40.84,472.88,3.7487331193351174,11:47:2
0.99,0.19,3.62,38.56,5.83,475.68,3.757738681707391,11:47:2
0.98,0.22,3.79,22.06,-1.06,500.93,3.9208289939756362,11:47:2
0.89,0.18,3.63,4.81,-0.21,498.48,3.741844464966442,11:47:2
0.8,0.34,3.68,474.53,469.78,494.93,3.78126962804823,11:47:3
0.86,0.07,3.6,16.92,1.24,1.42,3.7019589408852176,11:47:3
0.93,0.27,3.58,477.71,0.77,495.97,3.7086655281920478,11:47:3
0.93,0.21,3.58,9.11,498.09,500.71,3.7047806952638913,11:47:3
1.02,0.19,3.67,498.43,13.26,491.42,3.8138432060062457,11:47:3
0.97,0.3,3.73,7.84,492.54,9.38,3.865721148763837,11:47:3
0.93,0.15,3.63,7.14,494.04,498.3,3.750239992320491,11:47:3
0.96,0.27,3.62,5.79,-1.93,493.88,3.7548501967455374,11:47:3
0.96,0.15,3.61,6.39,-1.66,5.26,3.738475625171308,11:47:3
0.88,0.22,3.58,478.07,4.33,499.68,3.6931287548635505,11:47:3
0.9,0.37,3.66,488.9,495.98,12.63,3.7871493236998197,11:47:3
0.87,0.13,3.52,461.87,484.71,17.94,3.6282502670019885,11:47:3
0.87,0.31,3.61,452.35,495.88,31.41,3.726271595039739,11:47:3
0.86,0.16,3.51,407.15,470.98,33.0,3.617360916469353,11:47:3
0.87,0.46,3.57,452.63,-1.49,31.25,3.7031608120631216,11:47:3
0.93,0.12,3.59,456.06,487.89,12.36,3.710444717281205,11:47:3
0.89,0.35,3.58,479.68,4.95,7.81,3.7055363984179133,11:47:3
0.9,0.24,3.61,498.79,7.28,499.91,3.728230143110803,11:47:3
0.93,0.24,3.66,4.06,3.35,500.26,3.7839265320563507,11:47:3
0.93,0.24,3.64,495.59,1.54,0.88,3.7645849704847945,11:47:4
0.94,0.24,3.65,500.11,1.2,500.72,3.776731391031139,11:47:4
