acX,acY,acZ,gyX,gyY,gyZ,Akselerasi,time
0.87,3.96,0.47,492.32,5.58,493.14,4.081592826336307,10:29:30
0.85,3.96,0.45,26.26,-1.05,19.64,4.075119630145844,   10:29:31
0.9,0.04,0.46,38.65,495.52,16.84,1.0115334893121435,10:29:31
0.86,0.01,0.41,494.57,492.34,2.29,0.9527853903162034,10:29:32
0.89,3.99,0.41,486.02,3.47,495.5,4.108564226101376,10:29:32
0.9,3.98,0.42,497.89,4.36,500.75,4.1020482688530135,10:29:33
0.82,3.98,0.44,496.67,0.47,499.29,4.087346327386511,10:29:33
0.92,3.99,0.42,43.2,10.18,496.52,4.116175409284692,10:29:34
0.83,3.94,0.4,492.44,480.69,1.03,4.0462946012370375,10:29:34
0.9,3.97,0.41,483.58,2.4,3.03,4.091332301341459,10:29:35
0.98,0.03,0.43,495.71,495.51,493.45,1.07060730429042,10:29:35
0.96,0.05,0.37,485.61,-1.66,489.53,1.030048542545447,10:29:36
0.88,0.01,0.44,487.19,-1.61,492.05,0.9839207285142436,10:29:36
0.86,3.92,0.45,484.51,8.82,495.13,4.038378387422357,10:29:37
0.9,0.03,0.42,23.64,3.89,7.84,0.9936297097007517,10:29:37
0.9,3.99,0.44,7.64,5.99,2.26,4.113842486046348,10:29:38
0.86,0.02,0.49,491.28,0.29,496.19,0.9899999999999999,10:29:38
0.88,0.03,0.47,497.95,496.46,2.61,0.9980981915623331,10:29:39
0.9,0.01,0.43,498.98,495.75,6.09,0.9974968671630001,10:29:39
0.92,0.01,0.4,4.79,496.76,3.64,1.0032447358446492,10:29:04
0.89,0.08,0.41,491.36,4.73,495.0,0.9831581764904364,10:29:40
0.9,0.03,0.42,5.79,497.22,3.38,0.9936297097007517,10:29:41
0.88,3.96,0.46,447.46,15.47,480.73,4.082597212559672,10:29:41
1.03,0.04,0.57,460.03,6.56,469.76,1.177879450538127,10:29:42
0.99,3.99,0.32,10.84,7.45,21.15,4.123420909875683,10:29:42
0.92,3.9,0.51,473.57,14.1,495.77,4.039368762566745,10:29:43
0.76,0.24,0.6,460.2,436.31,478.3,0.997597113067194,10:29:44
1.05,0.09,0.58,484.12,469.37,473.97,1.202913130695646,10:29:44
0.92,3.98,0.45,499.55,0.11,500.23,4.109659353279783,10:29:45
0.89,0.06,0.3,483.14,14.71,496.72,0.9411163583744574,10:29:45
0.77,3.93,0.44,499.11,25.65,8.07,4.02882116753772,10:29:46
0.82,0.16,0.37,499.67,468.46,490.56,0.9137286249209882,10:29:46
0.61,3.91,0.46,469.18,471.9,494.22,3.983942770673294,10:29:47
1.01,3.86,0.76,8.05,0.12,10.19,4.0616868416952085,10:29:47
1.04,0.21,0.33,495.77,1.66,499.48,1.111125555461668,10:29:48
0.92,3.93,0.38,4.39,491.05,1.03,4.054096693469459,10:29:48
0.82,0.13,0.29,38.01,4.45,16.01,0.879431634636826,10:29:49
0.86,0.02,0.39,48.22,38.03,10.65,0.9445104552094699,10:29:49
1.08,0.17,0.34,15.09,457.85,13.85,1.1449454135459909,10:29:50
0.71,0.16,0.44,40.9,487.53,30.47,0.8504704580407246,10:29:50
1.31,3.99,0.46,497.09,0.71,499.47,4.224665667245161,10:29:51
