No,Waktu,roll,pitch,yaw,kf_roll,kf_pitch,kf_yaw
1,09:39:4,7.123348377244857,4.464543221488571,52.21625373720825,114.25481625123152,37.23241575619371,26.784287461833813
2,09:39:4,13.148769557701726,8.252196218607455,60.506226310549735,82.38013792892457,26.1758568777986,32.94860471024231
3,09:39:4,18.254626490292296,11.462147911081086,52.17255964388307,60.832842117297375,19.20921479136192,39.85555904590379
4,09:39:4,22.600199398255597,14.166199501832907,52.183069220953534,46.57820565491369,15.06845498274287,42.521527508327
5,09:39:4,26.270766045600247,16.452794818436665,60.43028711407885,37.44082037784244,12.849120278879887,44.48564395488863
6,09:39:4,29.383302653177267,18.40372527101117,60.54758707054158,31.85299058594112,11.914748509053938,48.304905952513515
7,09:39:4,32.02280840250675,20.051645037232184,52.21455877294216,28.701003441454468,11.823118243147652,51.14093217401471
8,09:39:4,34.259942791787196,21.439105221510538,52.11126605838697,27.194242231252257,12.260031970224748,50.82658254454301
9,09:39:4,36.154706675369596,22.6351069685314,60.54975373720825,26.77445789765453,13.007848405833967,50.57565138747379
10,09:39:4,37.77372709184096,23.638929266861837,60.59085034367493,27.050414535811463,13.927206283553748,52.827665428803634
11,09:39:4,39.12838192029347,24.487986511968064,60.46774847125282,27.7550259330895,14.91595991863696,54.493908161606434
12,09:39:4,40.272874255200556,25.221521041047705,60.50822631054973,28.696159468739623,15.910180851741986,55.683997930224756
13,09:39:4,41.25219959066207,25.836632977941115,60.54522543960883,29.74887790513162,16.87442942493478,56.57250460001782
14,09:39:4,42.06987228093666,26.363348554584185,60.5038929772164,30.83476388909386,17.78197990878072,57.2391262632608
15,09:39:4,42.765281340491384,26.81200582292577,52.17222631054973,31.897496014755703,18.621960323659717,57.72068459618979
16,09:39:4,43.37639206228315,27.180860499399433,52.258350343674934,32.90725446693735,19.389427946728752,55.68269921921657
17,09:39:4,43.885011141891596,27.498713136233853,60.55275373720825,33.85319543646202,20.080299751584143,54.22359365857797
18,09:39:5,43.043673488132995,27.756244028385026,52.13874847125282,34.72218511629124,20.699910721946917,55.54838811358873
19,09:39:5,42.35382704230554,27.949088554852338,51.97951213827455,35.14553319331281,21.24951143848245,54.103824538078605
20,09:39:5,41.72061873072576,28.194800689818585,51.896617999583405,35.28605123208271,21.728790981191793,53.008252016942166
21,09:39:5,42.48426670774318,28.666601186452286,62.034184404947354,35.23557298105474,22.1713736920684,52.19003940054852
22,09:39:5,42.01213112024778,29.184203413952066,55.822460351128356,35.44711639102194,22.65169984361712,54.513393891352095
23,09:39:5,41.48031541364202,30.55605471487661,53.50809665709266,35.4939976063372,23.172324487097786,54.43229735226718
24,09:39:5,42.201239747114606,31.66285344552436,60.328484186680505,35.40285102636427,23.96769448959327,53.713572523533664
25,09:39:5,42.80314281187033,32.524113580928976,59.80275364002726,35.570983249272295,24.887142391973605,55.155026747607984
26,09:39:5,43.318656906593226,31.9968146773385,51.56396207393755,35.893957511269655,25.826090131570304,56.06344692418728
27,09:39:5,43.7791679951585,31.537321498161752,51.6347913602685,36.30476551375742,26.37926159750402,54.36432770309879
28,09:39:5,44.15587150467468,31.138339790340247,51.478621930322966,36.76342788755152,26.66941242352643,53.1479388594945
