No,Waktu,roll,pitch,yaw,kf_roll,kf_pitch,kf_yaw
1,10:39:34,0.6861744358019611,7.048744128383821,39.26594696998601,384.7222109527725,83.20435497552593,13.711290974718333
2,10:39:35,13.317060961607924,9.244695321282258,86.4934097303454,276.5763886018579,61.21407741075643,20.886299782666043
3,10:39:36,11.540770154969158,19.241158943763686,82.56347835220598,201.10007851308592,45.768803789218815,39.60948032852881
4,10:39:36,21.352457868300277,19.71354767007914,88.56261616340439,145.42099971780272,37.34047300514131,52.17580385703618
5,10:39:37,20.450657718589042,29.065934792966903,92.72191203577259,107.5433117472005,31.327200801892655,63.06945932835516
6,10:39:37,28.97683610308385,28.011583731853985,96.62794257236487,79.63397227802298,29.616120554016522,72.212151976157
7,10:39:38,37.45559821489148,27.08380770051217,88.6642652771465,61.71349871585244,28.08100879865251,79.99984018883772
8,10:39:38,44.51601327166148,25.12637378087585,96.6137168773976,51.08831065468788,26.71084938920159,83.40785343450735
9,10:39:39,49.31166200287349,24.69507576730273,96.66143130297696,45.39508859855256,25.167510266377626,88.15290776283106
10,10:39:39,53.453882585469934,23.01714451081542,88.34601422150135,42.66247702656168,23.933268636073183,91.6200958419678
11,10:39:40,58.0918299856924,21.646918314424976,96.97840061122315,41.90814938152862,22.569292522435752,91.7657874232419
12,10:39:40,60.79380549908305,20.52229284170175,88.48009474389772,42.74135316156764,21.198352619226636,94.31848308445457
13,10:39:41,64.355817692876,19.546025954178525,96.6730603177985,44.18152716330392,19.892506547768686,93.7430432851202
14,10:39:41,67.38014880051293,18.702052185355846,96.65509796964363,46.309858534117446,18.67667637159031,95.64299169859103
15,10:39:42,69.91796641932372,18.01034347404324,88.20629346185822,48.786430237020575,17.564477498791398,97.01013424889531
16,10:39:42,72.07588003190689,17.416704934901393,96.66092830215372,51.37720078160588,16.571539634033766,95.58191908536564
17,10:39:43,73.91602146522773,16.905906142965648,96.79218676107891,53.94145107918461,15.6937924067671,96.9331928939197
